Ligand	Receptor	Score
TGFB1	ITGB3	5
TGFB1	CXCR4	7
TGFB1	ITGAV	8
TGFB1	TGFBR3	10
COMP	CD36	6
COMP	ITGB3	6
COMP	ITGB1	5
HGF	SDC2	8
HGF	SDC1	8
HGF	CD44	8
HGF	ITGB1	5
HGF	MET	11
HGF	ST14	8
HGF	NRP1	4
LAMB1	ITGB4	7
LAMB1	ITGA3	7
LAMB1	ITGA1	8
LAMB1	ITGA6	8
LAMB1	ITGB1	8
LAMB1	ITGA2	7
LAMB1	ITGAV	7
LAMB1	ITGA7	7
WNT16	FZD6	6
NAMPT	ADORA2A	5
PON2	HTR2A	6
NPVF	NPFFR1	9
NPVF	NPFFR2	9
SERPINE1	ITGB5	7
SERPINE1	LRP1	8
SERPINE1	PLAUR	7
SERPINE1	LRP2	8
SERPINE1	ITGAV	6
C5	C5AR2	8
C5	C5AR1	11
C5	ADRA2A	5
C5	MTNR1A	5
C5	GRM7	5
RLN1	RXFP1	12
RLN1	RXFP2	10
CSF3	CSF1R	7
CSF3	CSF3R	13
WNT3	FZD7	8
WNT3	RYK	8
WNT3	FZD1	9
WNT3	FZD8	7
WNT3	FZD5	6
WNT3	ROR2	4
WNT3	LRP6	8
CCL2	CCR5	9
CCL2	CCR3	9
CCL2	CCR4	8
CCL2	CCR10	9
CCL2	ACKR1	8
CCL2	ACKR4	8
CCL2	CCR2	13
CCL2	ACKR2	9
CCL2	CCR1	9
CCL1	CCR8	13
CCL13	CCR3	11
CCL13	CCR5	9
CCL13	ACKR1	6
CCL13	CCR9	7
CCL13	ACKR4	9
CCL13	CXCR3	9
CCL13	CCR2	11
CCL13	ACKR2	9
CCL13	CCR1	8
COL1A1	CD36	8
COL1A1	TMPRSS6	6
COL1A1	FLT4	7
COL1A1	CD93	8
COL1A1	CD44	10
COL1A1	ITGA11	8
COL1A1	ITGA1	7
COL1A1	ITGB1	8
COL1A1	ITGA2	8
COL1A1	DDR1	8
COL1A1	DDR2	8
COL1A1	ITGA5	8
COL1A1	ITGAV	7
VTN	PLAUR	8
VTN	CD47	7
VTN	ITGB6	8
VTN	ITGA2B	7
VTN	ITGB5	7
VTN	TNFRSF11B	8
VTN	PVR	8
VTN	ITGA3	7
VTN	ITGB8	8
VTN	ITGB1	7
VTN	KDR	7
VTN	ITGA5	8
VTN	ITGB3	8
VTN	ITGA8	8
VTN	ITGAV	9
IBSP	ITGAV	7
IBSP	ITGB3	5
CXCL6	CXCR2	12
CXCL6	ADRA2A	5
CXCL6	MTNR1A	5
CXCL6	ACKR1	6
CXCL6	CXCR1	12
CXCL6	GRM7	5
IL2	IL2RG	10
IL2	NGFR	8
IL2	CD53	8
IL2	IL2RB	10
IL2	IL2RA	10
APOC3	SDC2	7
APOC3	TLR2	7
APOC3	LRP1	5
APOC3	LDLR	5
APOC3	LRP2	5
IL23A	IL12RB2	5
IL23A	IL12RB1	10
IL23A	IL23R	10
FGF6	FGFR3	9
FGF6	SDC4	7
FGF6	FGFR1	10
FGF6	FGFR4	11
FGF6	FGFR2	11
IL26	IL20RA	9
IL26	IL10RB	5
IFNG	IFNGR2	10
IFNG	IFNGR1	10
LAMA4	ITGAV	7
LAMA4	ITGA6	7
LAMA4	ITGB1	7
LAMA4	ITGA3	7
HBEGF	ERBB2	8
HBEGF	PRLR	7
HBEGF	CD9	8
HBEGF	CD44	9
HBEGF	EGFR	11
HBEGF	ERBB4	11
HBEGF	CD82	8
IL12B	IL12RB2	10
IL12B	IL12RB1	10
IL12B	IL23R	9
IL4	IL2RG	10
IL4	IL4R	11
IL4	CD53	8
IL4	IL13RA2	7
IL4	IL13RA1	9
IL5	CSF2RB	10
IL5	IL5RA	10
SEMA3G	NRP2	6
LTF	TFRC	7
LTF	LRP1	8
HRG	ERBB2	4
HRG	FCGR1A	8
HRG	ERBB3	4
TFPI	F3	7
TFPI	SDC4	7
TFPI	VLDLR	8
TFPI	LRP1	8
APOB	TLR6	5
APOB	ITGAM	7
APOB	ITGB2	7
APOB	LRP8	7
APOB	TLR4	5
APOB	MTTP	5
APOB	ADRB2	5
APOB	LRP1	5
APOB	LSR	8
APOB	OLR1	8
APOB	CALCR	7
APOB	LRP6	7
APOB	LDLR	8
APOB	LRP2	8
APOB	VLDLR	5
WNT6	FZD4	3
PROC	THBD	8
PROC	ITGB2	6
PROC	PROCR	8
PROC	ITGAM	7
ANGPTL1	TEK	9
CD160	TNFRSF14	4
APOA1	ABCA1	4
APOA1	LDLR	5
APOA1	LRP2	5
APOA1	LRP1	5
FGF23	FGFR3	9
FGF23	FGFR1	10
FGF23	PHEX	7
FGF23	FGFR4	9
FGF23	FGFR2	8
FGF23	KL	4
TGFB3	ITGB6	6
TGFB3	ITGB5	5
TGFB3	ENG	8
TGFB3	TGFBR1	10
TGFB3	ITGB1	5
TGFB3	TGFBR2	10
TGFB3	ACVRL1	9
TGFB3	ITGB3	5
TGFB3	TGFBR3	9
IFNA7	IFNAR2	9
IFNA7	IFNAR1	9
IAPP	ADRB3	5
IAPP	GPR20	5
IAPP	ADCYAP1R1	5
IAPP	ADRB2	5
IAPP	TSHR	5
IAPP	RAMP2	9
IAPP	VIPR1	5
IAPP	PTH1R	5
IAPP	RAMP1	9
IAPP	RAMP3	7
IAPP	CALCR	9
IAPP	GPR84	5
TNFSF10	TNFRSF10B	11
TNFSF10	RIPK1	4
TNFSF10	TNFRSF11B	10
TNFSF10	TNFRSF10C	11
TNFSF10	TNFRSF10A	12
TNFSF10	TNFRSF10D	11
INHBA	ENG	8
INHBA	SMAD3	5
INHBA	ACVR2B	10
INHBA	ACVR1	8
INHBA	ACVR1B	10
INHBA	ACVR2A	10
INHBA	BAMBI	8
INHBA	TGFBR3	8
INHA	ACVR2A	8
INHA	TGFBR3	9
INHA	ACVR2B	7
INHA	ACVR1	8
PI3	PLD2	7
IL17C	IL17RE	6
EREG	ERBB2	7
EREG	EGFR	11
EREG	ERBB3	7
EREG	ERBB4	11
BMP4	BMPR1B	10
BMP4	HJV	4
BMP4	BMPR2	10
BMP4	LRP6	4
BMP4	BMPR1A	10
PSPN	GFRA1	8
PSPN	GFRA2	5
PSPN	GFRA4	8
PSPN	SDC3	7
PSPN	RET	8
PSPN	GFRA3	5
C3	CD46	8
C3	C3AR1	10
C3	ITGB2	8
C3	CD19	8
C3	C5AR2	8
C3	ADRA2A	5
C3	CR2	8
C3	ITGAX	9
C3	LRP1	8
C3	CR1	8
C3	CD81	7
C3	IFITM1	7
C3	MTNR1A	5
C3	ITGAM	9
C3	GRM7	5
SLURP1	CHRNA7	6
GDF1	SMAD3	5
GDF1	ACVR2A	5
GDF1	ACVR1B	5
GDF1	ACVR2B	5
LIF	IL6ST	10
LIF	LIFR	10
APOE	LRP5	8
APOE	TREM2	4
APOE	SDC2	4
APOE	LRP8	8
APOE	ABCA1	4
APOE	SCARB1	8
APOE	LRP4	4
APOE	LRP1	8
APOE	CHRNA4	7
APOE	LSR	4
APOE	SORL1	8
APOE	LRP6	4
APOE	LDLR	8
APOE	LRP2	8
APOE	VLDLR	8
APOC2	LDLR	5
APOC2	LRP2	5
APOC2	LRP1	5
NCAN	CDH2	7
NCAN	SDC3	7
BMP15	BMPR1B	10
BMP15	ACVR2A	7
BMP15	BMPR1A	9
BMP15	BMPR2	10
EPO	EPOR	13
EPO	EPHB4	5
GDF15	GFRAL	5
GDF15	RET	4
LAMA5	SDC1	7
LAMA5	ITGB4	7
LAMA5	ITGA3	7
LAMA5	ITGA6	7
LAMA5	ITGB1	7
LAMA5	ITGA2	7
LAMA5	BCAM	8
F12	CD93	7
F12	GP1BA	7
CRP	CR1	4
CRP	OLR1	8
NTS	NTSR1	12
NTS	NTSR2	10
NTS	NGFR	7
NTS	SORT1	8
TSHB	ADRB3	5
TSHB	ADCYAP1R1	5
TSHB	ADRB2	5
TSHB	TSHR	11
TSHB	RAMP2	5
TSHB	VIPR1	5
TSHB	PTH1R	5
TSHB	RAMP3	5
TSHB	GPR20	5
TSHB	GPR84	5
FST	HJV	4
FST	BMPR1B	8
FST	BMPR2	8
GRP	NMBR	8
GRP	BRS3	8
GRP	GRPR	12
SPX	GALR2	5
LACRT	SDC1	8
GDF11	BMPR1B	5
GDF11	ACVR2B	9
GDF11	ACVR1B	9
GDF11	BMPR2	5
GDF11	ACVR2A	8
GDF11	BMPR1A	5
LAMC1	ITGB4	7
LAMC1	ITGA3	7
LAMC1	ITGA1	8
LAMC1	ITGA6	7
LAMC1	ITGB1	7
LAMC1	ITGA2	7
LAMC1	ITGAV	7
LAMC1	ITGA7	7
IL36G	IL1RL2	5
IL36G	IL36RN	4
IL1RN	IL1RL2	7
IL1RN	IL1R1	9
IL1RN	IL1R2	9
IL36A	IL1RL2	6
IL36A	IL36RN	4
IL36B	IL1RL2	5
IL36B	IL36RN	4
CFC1	SMAD3	4
CFC1	ACVR2A	4
CFC1	ACVR1B	4
ORM1	CCR5	8
CCN3	NOTCH1	5
CCN3	PLXNA1	4
CCL21	ADRA2A	5
CCL21	ACKR4	10
CCL21	CXCR3	7
CCL21	ACKR2	8
CCL21	MTNR1A	5
CCL21	CCR7	13
CCL21	GRM7	5
CCL27	CCR10	12
CCL27	ADRA2A	5
CCL27	ACKR2	8
CCL27	MTNR1A	5
CCL27	GRM7	5
MMP7	CD151	8
MMP7	ERBB4	8
MMP7	CD44	8
MMP7	SDC1	4
THBS1	CD47	10
THBS1	SDC4	10
THBS1	CD36	10
THBS1	LRP5	7
THBS1	ITGA4	8
THBS1	SDC1	10
THBS1	SCARB1	7
THBS1	TNFRSF11B	8
THBS1	ITGA3	8
THBS1	LRP1	8
THBS1	ITGA6	8
THBS1	ITGB1	8
THBS1	ITGA2B	8
THBS1	ITGB3	8
MSTN	ACVR2B	10
COL8A1	ITGA1	7
COL8A1	ITGA2	7
LYZ	ITGAL	7
VWF	SIRPA	7
VWF	SELP	7
VWF	TNFRSF11B	8
VWF	STAB2	4
VWF	LRP1	4
VWF	SCARA5	4
VWF	GP1BA	8
VWF	ITGA2B	8
VWF	ITGB3	5
IL17B	IL17RB	12
ANOS1	FGFR1	6
ANOS1	SDC2	6
TIMP2	CD44	4
TIMP2	ITGB1	8
TIMP2	ITGA3	8
LGALS3BP	CD33	4
LGALS3BP	ITGB1	8
IL37	IL1RAPL1	4
IL1A	IL1R2	11
IL1A	IL1RAP	10
IL1A	IL1R1	10
IL1B	IL1RAP	10
IL1B	ADRB2	8
IL1B	IL1R1	10
IL1B	IL1R2	11
IL1B	SIGIRR	4
MIA	CDH7	8
LCN1	LMBR1L	9
IL7	IL7R	10
IL7	IL2RG	10
CKLF	CCR4	5
CKLF	LRP6	4
LAMC2	CD151	7
LAMC2	ITGB4	8
LAMC2	ITGA3	8
LAMC2	COL17A1	6
LAMC2	ITGA6	8
LAMC2	ITGB1	8
LAMC2	ITGA2	7
NID1	ITGAV	8
NID1	ITGA3	7
NID1	ITGB1	7
NID1	COL13A1	7
NID1	ITGB3	8
NID1	PTPRF	8
NMU	NMUR2	10
NMU	ADRA2A	5
NMU	NMUR1	10
NMU	MTNR1A	5
NMU	GRM7	5
IL21	IL2RG	10
IL21	IL21R	10
FGF2	SDC4	9
FGF2	GPC4	8
FGF2	SDC2	8
FGF2	FGFR3	12
FGF2	SDC1	8
FGF2	FGFR1	12
FGF2	CD44	8
FGF2	FGFR4	12
FGF2	SDC3	8
FGF2	FGFR2	12
FGF2	NRP1	9
FGF2	FGFRL1	9
IL11	IL6ST	10
IL11	IL11RA	10
WNT5A	RYK	8
WNT5A	ADRB2	5
WNT5A	FZD8	9
WNT5A	LDLR	5
WNT5A	LRP2	5
WNT5A	FZD7	10
WNT5A	EPHA7	4
WNT5A	PTK7	4
WNT5A	FZD1	12
WNT5A	PTPRK	4
WNT5A	VANGL2	4
WNT5A	FZD9	5
WNT5A	ROR2	10
WNT5A	FZD6	9
WNT5A	LRP5	8
WNT5A	FZD3	8
WNT5A	FZD2	12
WNT5A	ROR1	10
WNT5A	ANTXR1	4
WNT5A	LRP6	4
WNT5A	FZD4	9
WNT5A	MCAM	9
WNT5A	FZD5	13
FGF10	FGFR1	10
FGF10	FGFR2	11
FGF10	FGFRL1	5
OLFM2	ROBO2	7
F13A1	ITGA9	8
F13A1	ITGB1	8
F13A1	ITGA4	8
KNG1	SDC2	7
KNG1	ITGB2	9
KNG1	BDKRB1	9
KNG1	RXFP4	9
KNG1	CD93	8
KNG1	ADRA2A	5
KNG1	BDKRB2	9
KNG1	GP1BA	8
KNG1	MTNR1A	5
KNG1	ITGAM	8
KNG1	PLAUR	8
KNG1	GRM7	5
VCAN	ITGA4	7
VCAN	SELP	8
VCAN	CD44	10
VCAN	TLR2	9
VCAN	EGFR	8
VCAN	ITGB1	8
VCAN	TLR1	7
VCAN	SELL	7
TNC	ITGB6	5
TNC	CNTN1	8
TNC	SDC4	9
TNC	SDC1	9
TNC	ITGA9	7
TNC	EGFR	8
TNC	ITGB1	8
TNC	ITGA2	7
TNC	PTPRB	8
TNC	ITGA5	7
TNC	ITGB3	6
TNC	ITGA8	7
TNC	ITGA7	8
TNC	ITGAV	8
SEMA3C	PLXND1	8
SEMA3C	NRP2	6
SEMA3C	NRP1	8
SEMA3A	PLXNA2	7
SEMA3A	PLXNA3	6
SEMA3A	PLXNA1	8
SEMA3A	PLXNA4	7
SEMA3A	NRP2	7
SEMA3A	NRP1	8
WNT2	FZD7	7
WNT2	FZD3	6
WNT2	FZD4	6
WNT2	FZD2	5
WNT2	FZD1	9
WNT2	FZD8	7
WNT2	FZD9	9
WNT2	FZD5	7
WNT2	LRP6	7
NPTX2	NPTXR	4
GAL	GALR1	10
GAL	GALR3	9
GAL	ADRA2A	5
GAL	GPR151	9
GAL	MTNR1A	5
GAL	GALR2	11
GAL	GRM7	5
ADAM28	ITGA4	8
SLIT1	FLRT3	4
SLIT1	ROBO1	9
SLIT1	GPC1	8
TIMP3	KDR	8
TIMP3	MET	3
TIMP3	CD44	4
TIMP3	AGTR2	8
INHBE	ACVR2A	6
INHBE	ACVR2B	5
LUM	ITGB1	5
DHH	BOC	8
DHH	HHIP	8
DHH	PTCH1	8
DHH	PTCH2	8
DHH	CDON	8
NPFF	NPFFR1	10
NPFF	NPFFR2	10
FGF7	FGFR3	9
FGF7	FGFR1	9
FGF7	FGFR4	8
FGF7	FGFR2	11
FGF7	NRP1	9
MFGE8	ITGAV	8
MFGE8	ITGB3	8
MFGE8	PDGFRB	8
IGFBP4	LRP6	9
IGFBP4	FZD8	9
PTH2	ADRB3	5
PTH2	ADCYAP1R1	5
PTH2	ADRB2	5
PTH2	TSHR	5
PTH2	RAMP2	5
PTH2	VIPR1	5
PTH2	PTH1R	9
PTH2	PTH2R	9
PTH2	RAMP3	5
PTH2	GPR20	5
PTH2	GPR84	5
PROK1	PROKR2	9
PROK1	PROKR1	9
LEFTY1	ACVR2A	5
LEFTY1	ACVR1B	5
LEFTY1	ACVR2B	5
REN	ATP6AP2	8
GDF7	ACVR2A	7
GDF7	BMPR1A	7
GDF7	BMPR2	7
NXPH2	NRXN1	8
UCN2	CRHR2	10
UCN2	CRHR1	9
UCN2	IL10RB	9
SFRP2	FZD5	5
IL9	IL2RG	9
IL9	IL9R	10
FGF18	FGFR1	11
FGF18	FGFR3	11
FGF18	FGFR2	11
FGF18	FGFR4	11
CRH	ADRB3	5
CRH	CRHR1	12
CRH	ADCYAP1R1	5
CRH	ADRB2	5
CRH	CRHR2	11
CRH	TSHR	5
CRH	VIPR1	5
CRH	PTH1R	5
CRH	RAMP3	5
CRH	RAMP2	5
CRH	MC2R	7
CRH	GPR20	5
CRH	GPR84	5
RSPO2	LGR5	8
RSPO2	ZNRF3	5
RSPO2	LGR6	8
RSPO2	LGR4	8
IFNA1	IFNAR2	9
IFNA1	CR2	4
IFNA1	IFNAR1	9
SERPING1	SELE	7
SERPING1	SELP	8
GPHA2	TSHR	8
GPHA2	EPHA6	4
CTF1	IL6ST	10
CTF1	LIFR	10
IL18	IL18BP	5
IL18	CD48	6
IL18	IL1RL2	8
IL18	IL18RAP	10
IL18	IL1RAPL1	8
IL18	IL18R1	10
PTH	ADRB3	5
PTH	ADCYAP1R1	5
PTH	ADRB2	5
PTH	TSHR	5
PTH	RAMP2	5
PTH	VIPR1	5
PTH	PTH1R	11
PTH	PTH2R	11
PTH	RAMP3	5
PTH	GPR20	5
PTH	LRP6	4
PTH	GPR84	5
BMP3	BMPR1B	7
BMP3	BMPR1A	7
BMP3	ACVR2B	8
BMP3	BMPR2	7
BMP6	BMPR1B	8
BMP6	ACVR1	9
BMP6	HJV	5
BMP6	BMPR2	10
BMP6	ACVR2A	9
BMP6	BMPR1A	9
SEMA3D	PLXND1	4
SEMA3D	NRP1	7
WNT3A	LRP5	4
WNT3A	FZD7	7
WNT3A	RYK	8
WNT3A	FZD3	3
WNT3A	FZD2	7
WNT3A	ROR1	4
WNT3A	FZD1	8
WNT3A	LRP1	8
WNT3A	APCDD1	8
WNT3A	FZD8	8
WNT3A	LGR5	4
WNT3A	FZD5	7
WNT3A	LRP6	8
WNT3A	FZD6	7
WNT3A	ATP6AP2	8
APP	APLP1	4
APP	CD74	9
APP	DCC	4
APP	TNFRSF21	8
APP	SORL1	3
APP	GRM7	5
APP	LRP1	8
APP	PLD1	3
APP	GPC1	8
APP	VLDLR	4
APP	APLP2	4
APP	LRP10	4
APP	FPR2	8
APP	NGFR	7
APP	LRP6	4
APP	PTGER2	4
APP	AGER	4
APP	TSPAN12	4
APP	NOTCH2	4
APP	TSPAN15	4
APP	CAV1	7
APP	RPSA	4
APP	ADRA2A	5
APP	MTNR1A	5
APP	NCSTN	8
WNT7A	FZD10	8
WNT7A	RECK	4
WNT7A	FZD5	10
WNT7A	FZD9	8
WNT7A	LRP6	7
WNT7A	LDLR	4
DKK2	LRP6	9
DKK2	KREMEN2	8
WIF1	RYK	4
ADAMTS3	CCBE1	4
CXCL13	CCR10	9
CXCL13	ADRA2A	5
CXCL13	ACKR4	8
CXCL13	CXCR3	10
CXCL13	CXCR5	12
CXCL13	MTNR1A	5
CXCL13	OPRD1	7
CXCL13	GRM7	5
GDF6	BMPR1B	8
GDF6	BMPR1A	8
GDF6	BMPR2	8
NODAL	ACVR1C	8
NODAL	SMAD3	5
NODAL	ACVR2B	8
NODAL	ACVR1B	8
NODAL	ACVR2A	8
SST	SSTR1	12
SST	GRM7	5
SST	SSTR3	12
SST	SSTR5	11
SST	ADRA2A	5
SST	MTNR1A	5
SST	SSTR4	12
SST	SSTR2	12
WNT4	NOTCH1	4
WNT4	FZD2	7
WNT4	FZD1	3
WNT4	SMO	4
WNT4	FZD8	3
WNT4	FZD6	8
ACE	AGTR2	7
ACE	BDKRB2	8
AGRP	SDC3	8
AGRP	MC4R	9
AGRP	MC5R	8
AGRP	MC3R	8
PIP	NPTN	7
PIP	CD4	9
PIP	AQP5	4
TFF2	MUC6	4
TFF1	MUC5AC	4
TFF1	FCRL4	4
S100B	ALCAM	3
S100B	AGER	4
SCGB3A1	MARCO	9
SCGB3A1	NOTCH3	4
HCRT	HCRTR2	10
HCRT	HCRTR1	10
HCRT	NPFFR2	9
WNT1	LRP5	7
WNT1	FZD7	6
WNT1	RYK	10
WNT1	FZD3	7
WNT1	FZD1	9
WNT1	FZD8	9
WNT1	FZD9	8
WNT1	ROR2	5
WNT1	FZD5	6
WNT1	LRP6	9
CXCL16	CXCR6	12
CXCL16	ADRA2A	5
CXCL16	GRM7	5
CXCL16	MTNR1A	5
TNFSF12	TNFRSF12A	12
TNFSF12	TNFRSF8	5
TNFSF12	TNFRSF25	8
NTN3	CDON	8
NTN3	NEO1	8
FGF19	FGFR3	10
FGF19	KLB	8
FGF19	FGFR1	11
FGF19	FGFR4	11
FGF19	FGFR2	10
DRAXIN	DCC	4
VCAM1	ITGA4	7
VCAM1	ITGB2	7
VCAM1	MSN	4
VCAM1	ITGA9	8
VCAM1	ITGB7	7
VCAM1	ITGB1	8
VCAM1	EZR	4
VCAM1	ITGAD	7
INHBB	ACVR1C	9
INHBB	SMAD3	5
INHBB	ACVR2B	10
INHBB	ACVR1	9
INHBB	ACVR1B	10
INHBB	ACVR2A	10
BMP10	ENG	8
BMP10	BMPR1B	9
BMP10	ACVR2A	8
BMP10	BMPR2	10
BMP10	ACVRL1	8
BMP10	BMPR1A	9
TGFA	ERBB4	9
TGFA	ERBB2	9
TGFA	EGFR	11
TGFA	ERBB3	7
COL6A3	ITGA1	7
COL6A3	ITGB1	7
COL6A3	ITGA2	7
PROK2	PROKR2	9
PROK2	PROKR1	9
IHH	BOC	8
IHH	HHIP	8
IHH	PTCH1	10
IHH	PTCH2	10
IHH	CDON	8
CXCL3	CXCR2	13
CXCL3	ADRA2A	5
CXCL3	MTNR1A	5
CXCL3	CXCR1	10
CXCL3	GRM7	5
CXCL5	CXCR2	12
CXCL5	ADRA2A	5
CXCL5	MTNR1A	5
CXCL5	ACKR1	7
CXCL5	CXCR1	11
CXCL5	GRM7	5
PPBP	CXCR2	12
PPBP	ADRA2A	5
PPBP	MTNR1A	5
PPBP	ACKR1	5
PPBP	CXCR1	10
PPBP	GRM7	5
PF4	SDC2	8
PF4	LDLR	10
PF4	ADRA2A	5
PF4	LRP1	4
PF4	CXCR3	11
PF4	THBD	9
PF4	FGFR2	8
PF4	MTNR1A	5
PF4	ACKR1	4
PF4	PROCR	8
PF4	GRM7	5
UCN	CRHR2	11
UCN	CRHR1	11
TDGF1	ACVR1C	7
TDGF1	SMAD3	4
TDGF1	ACVR2B	6
TDGF1	ACVR1B	8
TDGF1	GPC1	6
TDGF1	ACVR2A	7
LIPH	LPAR1	8
LIPH	LPAR2	8
LIPH	LPAR4	8
CAMP	IGF1R	7
CAMP	FPR2	8
CAMP	EGFR	7
CAMP	P2RX7	7
IL15	IL2RG	10
IL15	IL15RA	10
IL15	IL2RA	8
IL15	IL2RB	10
SCGB3A2	MARCO	10
SPINK1	NRSN1	7
SPINK1	EGFR	8
IL3	CSF2RB	10
IL3	IL3RA	10
CSF2	SDC2	8
CSF2	IL3RA	9
CSF2	ITGA9	7
CSF2	CSF1R	7
CSF2	CSF3R	9
CSF2	CSF2RB	10
CSF2	ITGB1	7
CSF2	CSF2RA	10
COL1A2	CD36	7
COL1A2	CD44	10
COL1A2	ITGA11	8
COL1A2	CD93	8
COL1A2	FLT4	7
COL1A2	ITGA1	7
COL1A2	ITGB1	8
COL1A2	ITGA2	8
COL1A2	ITGA2B	7
COL1A2	ITGAV	7
COL1A2	ITGB3	8
DEFB1	CCR6	8
COL14A1	CD44	8
VEGFD	ITGA4	5
VEGFD	FLT4	6
VEGFD	ITGA9	6
VEGFD	FLT1	5
VEGFD	ITGA1	5
VEGFD	ITGB1	5
VEGFD	ITGA2	5
VEGFD	KDR	7
VEGFD	ITGA5	5
VEGFD	NRP2	5
JAM3	ITGB1	5
JAM3	ITGB2	4
COL6A2	ITGA1	7
COL6A2	ITGB1	7
COL6A2	ITGA2	7
ANGPTL4	GPIHBP1	4
ANGPTL4	TIE1	7
PNOC	OPRL1	11
PNOC	ADRA2A	5
PNOC	GRM7	5
PNOC	MTNR1A	5
PRL	PRLR	12
CCL11	CCR3	13
CCL11	CCR5	9
CCL11	ACKR4	8
CCL11	CXCR3	10
CCL11	CCR2	9
CCL11	ACKR2	9
CCL11	DPP4	5
CCL11	ACKR1	6
NRTN	GFRA2	10
NRTN	GFRA1	10
NRTN	RET	10
NRTN	GFRA3	5
IGF1	INSR	7
IGF1	IGF1R	12
IGF1	IGF2R	5
INSL5	RXFP4	9
INSL5	ADRA2A	5
INSL5	MTNR1A	5
INSL5	RXFP3	9
INSL5	GRM7	5
IL16	KCNJ4	7
IL16	GRIN2B	5
IL16	KCND2	7
IL16	KCNJ10	8
IL16	GRIN2A	5
IL16	CD4	12
IL16	CCR5	7
IL16	KCND1	7
IL16	KCNJ15	8
IL16	GRIN2D	9
IL16	KCNA3	7
IL16	GRIN2C	8
PCSK9	APLP2	4
PCSK9	LRP1	4
PCSK9	SORT1	4
PCSK9	LDLR	5
PCSK9	VLDLR	8
SEMA3E	PLXND1	9
SEMA3E	NRP1	8
IL12A	IL12RB2	10
IL12A	IL12RB1	10
IL12A	CD28	7
TRH	TRHR	11
DEFB4A	TLR4	7
DEFB4A	CCR6	7
CD14	TLR6	5
CD14	ITGA4	8
CD14	ITGB2	5
CD14	RIPK1	5
CD14	TLR4	5
CD14	TLR9	4
CD14	ITGB1	8
CD14	TLR1	4
COL3A1	MAG	8
COL3A1	ITGB1	7
COL3A1	ITGA2	7
COL3A1	DDR1	8
COL3A1	DDR2	8
IL13	IL2RG	8
IL13	TMEM219	4
